"Year","Month","Temp","Tributary","Reach","Area"
2002,4,15.3172222216667,"Butte Creek","Sanborn","Lower"
2002,5,19.7155645164516,"Butte Creek","Sanborn","Lower"
2002,6,24.359263889,"Butte Creek","Sanborn","Lower"
2002,7,25.8404435487097,"Butte Creek","Sanborn","Lower"
2002,8,23.0941532258065,"Butte Creek","Sanborn","Lower"
2002,9,20.989125,"Butte Creek","Sanborn","Lower"
2002,10,16.2936182793548,"Butte Creek","Sanborn","Lower"
2002,11,12.2993750003333,"Butte Creek","Sanborn","Lower"
2002,12,9.78340053741935,"Butte Creek","Sanborn","Lower"
2003,1,10.8350403223548,"Butte Creek","Sanborn","Lower"
2003,2,13.3550446432143,"Butte Creek","Sanborn","Lower"
2003,3,12.9502150535484,"Butte Creek","Sanborn","Lower"
2003,4,12.5898611133333,"Butte Creek","Sanborn","Lower"
2003,5,NA,"Butte Creek","Sanborn","Lower"
2003,6,NA,"Butte Creek","Sanborn","Lower"
2003,7,26.827631945,"Butte Creek","Sanborn","Lower"
2003,8,23.6787096777419,"Butte Creek","Sanborn","Lower"
2003,9,21.1723750003333,"Butte Creek","Sanborn","Lower"
2003,10,16.5512827954839,"Butte Creek","Sanborn","Lower"
2003,11,11.4434999995333,"Butte Creek","Sanborn","Lower"
2003,12,9.54817204322581,"Butte Creek","Sanborn","Lower"
2004,1,8.71400537645161,"Butte Creek","Sanborn","Lower"
2004,2,10.0433045977241,"Butte Creek","Sanborn","Lower"
2004,3,13.6311827959032,"Butte Creek","Sanborn","Lower"
2004,4,14.8605380433333,"Butte Creek","Sanborn","Lower"
2004,5,20.5226344083871,"Butte Creek","Sanborn","Lower"
2004,6,24.4339305556667,"Butte Creek","Sanborn","Lower"
2004,7,25.5173252687097,"Butte Creek","Sanborn","Lower"
2004,8,23.0719086016129,"Butte Creek","Sanborn","Lower"
2004,9,20.9380694446667,"Butte Creek","Sanborn","Lower"
2004,10,15.7548387096774,"Butte Creek","Sanborn","Lower"
2004,11,11.6633333333333,"Butte Creek","Sanborn","Lower"
2004,12,9.14193548387097,"Butte Creek","Sanborn","Lower"
2005,1,8.60967741935484,"Butte Creek","Sanborn","Lower"
2005,2,11.5642857142857,"Butte Creek","Sanborn","Lower"
2005,3,12.6,"Butte Creek","Sanborn","Lower"
2005,4,13.59,"Butte Creek","Sanborn","Lower"
2005,5,16.8322580645161,"Butte Creek","Sanborn","Lower"
2005,6,20.953513889,"Butte Creek","Sanborn","Lower"
2005,7,26.7692607529032,"Butte Creek","Sanborn","Lower"
2005,8,24.236155913871,"Butte Creek","Sanborn","Lower"
2005,9,20.0517361106667,"Butte Creek","Sanborn","Lower"
2005,10,15.6921741932258,"Butte Creek","Sanborn","Lower"
2005,11,12.3514027786333,"Butte Creek","Sanborn","Lower"
2005,12,9.85047043035484,"Butte Creek","Sanborn","Lower"
2006,1,9.60388440858065,"Butte Creek","Sanborn","Lower"
2006,2,9.78406249985714,"Butte Creek","Sanborn","Lower"
2006,3,10.2431451611613,"Butte Creek","Sanborn","Lower"
2006,4,13.47061232,"Butte Creek","Sanborn","Lower"
2006,5,17.019596773871,"Butte Creek","Sanborn","Lower"
2006,6,23.7156944446667,"Butte Creek","Sanborn","Lower"
2006,7,26.8860887096774,"Butte Creek","Sanborn","Lower"
2006,8,23.3326344083871,"Butte Creek","Sanborn","Lower"
2006,9,20.0253472226667,"Butte Creek","Sanborn","Lower"
2006,10,15.3663596777419,"Butte Creek","Sanborn","Lower"
2006,11,12.0080257936667,"Butte Creek","Sanborn","Lower"
2006,12,8.05944892477419,"Butte Creek","Sanborn","Lower"
2007,1,6.7672715053871,"Butte Creek","Sanborn","Lower"
2007,2,10.2557440481071,"Butte Creek","Sanborn","Lower"
2007,3,13.1097942964516,"Butte Creek","Sanborn","Lower"
2007,4,15.436194445,"Butte Creek","Sanborn","Lower"
2007,5,20.6733333335484,"Butte Creek","Sanborn","Lower"
2007,6,24.071736112,"Butte Creek","Sanborn","Lower"
2007,7,25.01639785,"Butte Creek","Sanborn","Lower"
2007,8,22.8954973116129,"Butte Creek","Sanborn","Lower"
2007,9,19.8076944443333,"Butte Creek","Sanborn","Lower"
2007,10,15.1870564509677,"Butte Creek","Sanborn","Lower"
2007,11,12.2979377777333,"Butte Creek","Sanborn","Lower"
2007,12,7.65924731193548,"Butte Creek","Sanborn","Lower"
2008,1,7.37485215058065,"Butte Creek","Sanborn","Lower"
2008,2,9.43257183879311,"Butte Creek","Sanborn","Lower"
2008,3,12.1862803880645,"Butte Creek","Sanborn","Lower"
2008,4,11.81766667,"Butte Creek","Sanborn","Lower"
